22:56:06 --- INFO: epoch: 57, batch: 1, loss: 1.8608996868133545, modularity_loss: -0.044192686676979065, purity_loss: 1.1012182235717773, regularization_loss: 0.803874135017395
22:56:06 --- INFO: epoch: 58, batch: 1, loss: 1.8608360290527344, modularity_loss: -0.04423270374536514, purity_loss: 1.1022833585739136, regularization_loss: 0.802785336971283
22:56:07 --- INFO: epoch: 59, batch: 1, loss: 1.8606252670288086, modularity_loss: -0.04426708444952965, purity_loss: 1.1029471158981323, regularization_loss: 0.801945149898529
22:56:07 --- INFO: epoch: 60, batch: 1, loss: 1.8602499961853027, modularity_loss: -0.04429858922958374, purity_loss: 1.10319185256958, regularization_loss: 0.8013566732406616
22:56:08 --- INFO: epoch: 61, batch: 1, loss: 1.8596887588500977, modularity_loss: -0.04432880878448486, purity_loss: 1.1030011177062988, regularization_loss: 0.8010164499282837
22:56:09 --- INFO: epoch: 62, batch: 1, loss: 1.8589504957199097, modularity_loss: -0.04435921460390091, purity_loss: 1.1023969650268555, regularization_loss: 0.8009127378463745
22:56:09 --- INFO: epoch: 63, batch: 1, loss: 1.8580487966537476, modularity_loss: -0.044390417635440826, purity_loss: 1.1014070510864258, regularization_loss: 0.8010321855545044
22:56:10 --- INFO: epoch: 64, batch: 1, loss: 1.8570137023925781, modularity_loss: -0.04442285746335983, purity_loss: 1.1000819206237793, regularization_loss: 0.801354706287384
22:56:11 --- INFO: epoch: 65, batch: 1, loss: 1.8558897972106934, modularity_loss: -0.04445645213127136, purity_loss: 1.0984920263290405, regularization_loss: 0.8018542528152466
22:56:11 --- INFO: epoch: 66, batch: 1, loss: 1.8547239303588867, modularity_loss: -0.044490981847047806, purity_loss: 1.0967135429382324, regularization_loss: 0.8025013208389282
22:56:12 --- INFO: epoch: 67, batch: 1, loss: 1.8535544872283936, modularity_loss: -0.04452582076191902, purity_loss: 1.0948173999786377, regularization_loss: 0.8032628297805786
22:56:12 --- INFO: epoch: 68, batch: 1, loss: 1.8523993492126465, modularity_loss: -0.04456000030040741, purity_loss: 1.0928475856781006, regularization_loss: 0.8041117787361145
22:56:13 --- INFO: epoch: 69, batch: 1, loss: 1.851287841796875, modularity_loss: -0.04459279403090477, purity_loss: 1.0908591747283936, regularization_loss: 0.8050214052200317
22:56:14 --- INFO: epoch: 70, batch: 1, loss: 1.8502528667449951, modularity_loss: -0.04462369903922081, purity_loss: 1.0889182090759277, regularization_loss: 0.8059583306312561
22:56:14 --- INFO: epoch: 71, batch: 1, loss: 1.8492873907089233, modularity_loss: -0.0446518138051033, purity_loss: 1.0870407819747925, regularization_loss: 0.8068984150886536
22:56:15 --- INFO: epoch: 72, batch: 1, loss: 1.8483896255493164, modularity_loss: -0.04467646777629852, purity_loss: 1.085248351097107, regularization_loss: 0.807817816734314
22:56:16 --- INFO: epoch: 73, batch: 1, loss: 1.847579002380371, modularity_loss: -0.044697560369968414, purity_loss: 1.083586573600769, regularization_loss: 0.808690071105957
22:56:16 --- INFO: epoch: 74, batch: 1, loss: 1.8468313217163086, modularity_loss: -0.04471476003527641, purity_loss: 1.0820491313934326, regularization_loss: 0.8094968795776367
22:56:17 --- INFO: epoch: 75, batch: 1, loss: 1.8461341857910156, modularity_loss: -0.04472792148590088, purity_loss: 1.0806407928466797, regularization_loss: 0.8102213144302368
